model,question,response_count,category,temperature
claude-3.7-thinking-16k-bedrock,"Suggest a way to detect exoplanets with conditions suitable for life, using only ground-based telescopes.",104,Physics/Astrophysics,0.7
claude-3.7-thinking-16k-bedrock,"Invent a new x-ray detector technology for soft x-rays, that improves upon the current state-of-the-art.",108,Physics/Synchrotron,0.7
claude-3.7-thinking-16k-bedrock,"Propose a metal surface, and a nanoparticle (material, shape, etc.) sitting on that surface, where the combination of these two might lead to enhanced catalytic activity, for some set of chemical reactions.",110,Chemistry,0.7
claude-3.7-thinking-16k-bedrock,Suggest a new functional group for organic molecules that might exhibit novel reactivity or properties.,106,Chemistry,0.7
claude-3.7-thinking-16k-bedrock,Suggest a novel catalyst for water splitting that does not rely on rare or expensive elements.,109,Chemistry,0.7
claude-3.7-thinking-16k-bedrock,Suggest a catalytic system for converting CO2 into a useful chemical product at ambient temperature and pressure.,152,Chemistry,0.7
claude-3.7-thinking-16k-bedrock,"Invent a way to combine electron-beams and scanning probe methods, to advance nanoscience.",103,Nanoscience,0.7
claude-3.7-thinking-16k-bedrock,Name an application for quantum dots.,169,Nanoscience,0.7
claude-3.7-thinking-16k-bedrock,"Suggest a new method for crystallizing difficult-to-crystalize proteins, for subsequent protein crystallography measurements.",151,Biology,0.7
claude-3.7-thinking-16k-bedrock,Propose a new method for mapping the connectome of a complex brain.,131,Neuroscience,0.7
claude-3.7-thinking-16k-bedrock,Give an example of a feedback loop in nature that yields counterintuitive results in environmental policy.,124,Environmental Science,0.7
o3-mini-medium,Describe a way to test for the existence of extra dimensions beyond the usual three spatial dimensions.,114,Physics/Fundamental,0.7
o3-mini-medium,Propose a new type of liquid crystal phase with unique optical properties.,114,Chemistry,0.7
o3-mini-medium,Propose an application for 3D nanoscale superlattices formed from DNA origami blocks with central vacancies ('cages').,140,Nanoscience,0.7
o3-mini-medium,Invent an application for zeolites.,203,Nanoscience,0.7
abacus-gemini-2-5-pro,"Suggest a practical, real-world application for Bose-Einstein condensates (BECs).",105,Physics/Fundamental,0.7
abacus-gemini-2-5-pro,Describe a way to test for the existence of extra dimensions beyond the usual three spatial dimensions.,123,Physics/Fundamental,0.7
abacus-gemini-2-5-pro,Propose a material that might be a high-temperature superconductor.,151,Physics/Condensed Matter,0.7
abacus-gemini-2-5-pro,Describe a new type of chemical reaction that has not yet been discovered but will be essential in 100 years.,102,Chemistry,0.7
abacus-gemini-2-5-pro,Invent a new polymerization method.,155,Chemistry,0.7
abacus-gemini-2-5-pro,Propose a material that would be appropriate for use in mechanical meta-material designs.,116,Nanoscience,0.7
abacus-gemini-2-5-pro,Suggest an improvement to state-of-the-art electron microscopes.,111,Nanoscience,0.7
abacus-gemini-2-5-pro,Propose an application for optical-wavelength meta-materials.,165,Nanoscience,0.7
abacus-gemini-2-5-pro,How could we accelerate density functional theory (DFT) calculations?,218,Nanoscience,0.7
o1,Suggest a way to improve spatial resolution in synchrotron-based imaging experiments.,118,Physics/Synchrotron,0.7
o1,Propose a material that would be appropriate for use in mechanical meta-material designs.,104,Nanoscience,0.7
o1,Propose an application for optical-wavelength meta-materials.,104,Nanoscience,0.7
